number,short_title,doi,official_url,pdf_file,pdf_url,snapshot_file,pdf_version_or_restriction
1,Agents in software engineering,10.1007/s10515-025-00544-2,https://doi.org/10.1007/s10515-025-00544-2,01_Wang_Agents_in_Software_Engineering_author_manuscript.pdf,https://arxiv.org/pdf/2409.09030,无,作者公开稿（arXiv 2409.09030）；正式著录以 Springer DOI 为准
2,ChatDev,10.18653/v1/2024.acl-long.810,https://aclanthology.org/2024.acl-long.810/,02_Qian_ChatDev_ACL_2024.pdf,https://aclanthology.org/2024.acl-long.810.pdf,无,ACL Anthology 正式版本（CC BY 4.0）
3,SWE-agent,10.52202/079017-1601,https://proceedings.neurips.cc/paper_files/paper/2024/hash/5a7c947568c1b1328ccc5230172e1e7c-Abstract-Conference.html,03_Yang_SWE-agent_NeurIPS_2024.pdf,https://proceedings.neurips.cc/paper_files/paper/2024/file/5a7c947568c1b1328ccc5230172e1e7c-Paper-Conference.pdf,无,NeurIPS 2024 正式会议版本
4,A survey on large language model based autonomous agents,10.1007/s11704-024-40231-1,https://doi.org/10.1007/s11704-024-40231-1,04_Wang_LLM_Autonomous_Agents_Survey.pdf,https://link.springer.com/content/pdf/10.1007/s11704-024-40231-1.pdf,无,Springer/Higher Education Press 正式开放版本（CC BY）
5,MetaGPT,不适用,https://openreview.net/forum?id=VtmBAGCN7o,05_Hong_MetaGPT_author_manuscript.pdf,https://arxiv.org/pdf/2308.00352,无,作者公开稿（arXiv 2308.00352）；会议状态以 ICLR OpenReview 为准
6,Model Context Protocol Specification 2025-06-18,不适用,https://modelcontextprotocol.io/specification/2025-06-18,无,无,06_MCP_Specification_2025-06-18_official.html,官方持续维护的网页规范，无正式 PDF
7,Grounded Copilot,10.1145/3586030,https://doi.org/10.1145/3586030,07_Barke_Grounded_Copilot_author_manuscript.pdf,https://arxiv.org/pdf/2206.15000,无,作者公开稿（arXiv 2206.15000）；正式著录以 ACM DOI 为准
8,Guidelines for human-AI interaction,10.1145/3290605.3300233,https://doi.org/10.1145/3290605.3300233,08_Amershi_Guidelines_for_Human_AI_Interaction_author_copy.pdf,https://www.microsoft.com/en-us/research/uploads/prod/2019/01/Guidelines-for-Human-AI-Interaction-camera-ready.pdf,无,Microsoft Research 作者公开终稿；正式著录以 ACM DOI 为准
9,Do users write more insecure code with AI assistants?,10.1145/3576915.3623157,https://doi.org/10.1145/3576915.3623157,09_Perry_Insecure_Code_with_AI_Assistants_author_manuscript.pdf,https://arxiv.org/pdf/2211.03622,无,作者公开稿（arXiv 2211.03622）；正式著录以 ACM DOI 为准
10,Workflow patterns,10.1023/A:1022883727209,https://doi.org/10.1023/A:1022883727209,10_Van_der_Aalst_Workflow_Patterns_repository_copy.pdf,https://eprints.qut.edu.au/9950/1/9950.pdf,无,QUT 机构仓储公开稿；正式著录以 Springer DOI 为准
11,Adoption of open source software in software-intensive organizations,10.1016/j.infsof.2010.05.008,https://doi.org/10.1016/j.infsof.2010.05.008,11_Hauge_OSS_Adoption_repository_copy.pdf,https://upcommons.upc.edu/server/api/core/bitstreams/6e024616-6b14-43c3-84a6-cae4135c65be/content,无,UPC 机构仓储公开稿（CC BY-NC-ND）；正式著录以 Elsevier DOI 为准
12,Open source software ecosystems,10.1016/j.infsof.2017.07.007,https://doi.org/10.1016/j.infsof.2017.07.007,12_Franco_Bedoya_OSS_Ecosystems_preprint.pdf,https://upcommons.upc.edu/server/api/core/bitstreams/ef618ad5-fe78-4aad-8c4c-c2c134e1a91b/content,无,UPC 机构仓储预印本；正式著录以 Elsevier DOI 为准
13,The Open Provenance Model core specification,10.1016/j.future.2010.07.005,https://doi.org/10.1016/j.future.2010.07.005,13_Moreau_Open_Provenance_Model_repository_copy.pdf,https://kclpure.kcl.ac.uk/ws/files/8803757/Moreau_Open_2010.pdf,无,King's College London 机构仓储公开稿；正式著录以 Elsevier DOI 为准
14,Artificial Intelligence Risk Management Framework 1.0,10.6028/NIST.AI.100-1,https://doi.org/10.6028/NIST.AI.100-1,14_Tabassi_NIST_AI_RMF_1.0.pdf,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf,无,NIST 官方正式 PDF
