category,name,url,final_url,status,title,error
OpenAI/Codex,Codex Memories,https://developers.openai.com/codex/memories,https://developers.openai.com/codex/memories,200,Memories – Codex | OpenAI Developers,
OpenAI/Codex,Codex with Agents SDK,https://developers.openai.com/codex/guides/agents-sdk,https://developers.openai.com/codex/guides/agents-sdk,200,Use Codex with the Agents SDK | OpenAI Developers,
OpenAI/Codex,Codex SDK,https://developers.openai.com/codex/sdk,https://developers.openai.com/codex/sdk,200,SDK – Codex | OpenAI Developers,
OpenAI/Codex,Codex Subagents,https://developers.openai.com/codex/subagents,https://developers.openai.com/codex/subagents,200,Subagents – Codex | OpenAI Developers,
OpenAI/Agents,Agents guide,https://developers.openai.com/api/docs/guides/agents,https://developers.openai.com/api/docs/guides/agents,200,Agents SDK | OpenAI API,
OpenAI/Agents,Agents SDK Sessions,https://openai.github.io/openai-agents-python/sessions/,https://openai.github.io/openai-agents-python/sessions/,200,Overview - OpenAI Agents SDK,
OpenAI/Agents,Sandbox agents,https://developers.openai.com/api/docs/guides/agents/sandboxes,https://developers.openai.com/api/docs/guides/agents/sandboxes,200,Sandbox Agents | OpenAI API,
OpenAI/Agents,Memory compaction cookbook,https://developers.openai.com/cookbook/examples/agents_sdk/building_reliable_agents_memory_compaction,https://developers.openai.com/cookbook/examples/agents_sdk/building_reliable_agents_memory_compaction,200,Building Reliable Agents with Memory and Compaction,
Claude Code,Memory,https://docs.anthropic.com/en/docs/claude-code/memory,https://code.claude.com/docs/en/memory,200,How Claude remembers your project - Claude Code Docs,
Claude Code,Subagents,https://docs.anthropic.com/en/docs/claude-code/sub-agents,https://code.claude.com/docs/en/sub-agents,200,Create custom subagents - Claude Code Docs,
Claude Code,Hooks,https://docs.anthropic.com/en/docs/claude-code/hooks,https://code.claude.com/docs/en/hooks,200,Hooks reference - Claude Code Docs,
Claude Code,Settings,https://docs.anthropic.com/en/docs/claude-code/settings,https://code.claude.com/docs/en/settings,200,Claude Code settings - Claude Code Docs,
Claude Code,CLI reference,https://docs.anthropic.com/en/docs/claude-code/cli-reference,https://code.claude.com/docs/en/cli-reference,200,CLI reference - Claude Code Docs,
Claude Code,Slash commands,https://docs.anthropic.com/en/docs/claude-code/slash-commands,https://code.claude.com/docs/en/slash-commands,200,Extend Claude with skills - Claude Code Docs,
Claude Code,MCP,https://docs.anthropic.com/en/docs/claude-code/mcp,https://code.claude.com/docs/en/mcp,200,Connect Claude Code to tools via MCP - Claude Code Docs,
Claude Code,SDK overview,https://docs.anthropic.com/en/docs/claude-code/sdk,https://code.claude.com/docs/en/agent-sdk/overview,200,Agent SDK overview - Claude Code Docs,
LangGraph,Persistence,https://docs.langchain.com/oss/python/langgraph/persistence,https://docs.langchain.com/oss/python/langgraph/persistence,200,Persistence - Docs by LangChain,
LangGraph,Memory,https://docs.langchain.com/oss/python/langgraph/add-memory,https://docs.langchain.com/oss/python/langgraph/add-memory,,,"SSLError: HTTPSConnectionPool(host='docs.langchain.com', port=443): Max retries exceeded with url: /oss/python/langgraph/add-memory (Caused by SSLError(SSLEOFError(8, '[S"
LangGraph,Subgraphs,https://docs.langchain.com/oss/python/langgraph/use-subgraphs,https://docs.langchain.com/oss/python/langgraph/use-subgraphs,200,Subgraphs - Docs by LangChain,
LangGraph,Human-in-the-loop,https://docs.langchain.com/oss/python/langgraph/human-in-the-loop,https://docs.langchain.com/oss/python/langgraph/interrupts,200,Interrupts - Docs by LangChain,
LlamaIndex,Agent state,https://developers.llamaindex.ai/python/framework/understanding/agent/state/,https://developers.llamaindex.ai/python/framework/understanding/agent/state/,200,Maintaining state | Developer Documentation,
LlamaIndex,Workflow state,https://developers.llamaindex.ai/python/llamaagents/workflows/managing_state/,https://developers.llamaindex.ai/python/llamaagents/workflows/managing_state/,200,Managing State | Developer Documentation,
